Ðò ºÅ           ¶¯ ×÷           ×´Ì¬Õ»                                                  ·ûºÅÕ»
[0]             _               0                                                       10
[1]             s3              0 3                                                     10 3
[2]             s7              0 3 7                                                   10 3 9
[3]             s11             0 3 7 11                                                10 3 9 5
[4]             s4              0 3 7 11 4                                              10 3 9 5 4
[5]             s2              0 3 7 11 4 2                                            10 3 9 5 4 0
[6]             s6              0 3 7 11 4 2 6                                          10 3 9 5 4 0 9
[7]             s10             0 3 7 11 4 2 6 10                                       10 3 9 5 4 0 9 1
[8]             s5              0 3 7 11 4 2 6 10 5                                     10 3 9 5 4 0 9 1 7
[9]             r4              0 3 7 11 4 2 6 10 14                                    10 3 9 5 4 0 9 1 11
[10]            s17             0 3 7 11 4 2 6 10 14 17                                 10 3 9 5 4 0 9 1 11 2
[11]            s3              0 3 7 11 4 2 6 10 14 17 3                               10 3 9 5 4 0 9 1 11 2 3
[12]            s7              0 3 7 11 4 2 6 10 14 17 3 7                             10 3 9 5 4 0 9 1 11 2 3 9
[13]            s11             0 3 7 11 4 2 6 10 14 17 3 7 11                          10 3 9 5 4 0 9 1 11 2 3 9 5
[14]            s5              0 3 7 11 4 2 6 10 14 17 3 7 11 5                        10 3 9 5 4 0 9 1 11 2 3 9 5 7
[15]            r4              0 3 7 11 4 2 6 10 14 17 3 7 11 15                       10 3 9 5 4 0 9 1 11 2 3 9 5 11
[16]            r2              0 3 7 11 4 2 6 10 14 17 18                              10 3 9 5 4 0 9 1 11 2 11
[17]            r1              0 3 7 11 4 9                                            10 3 9 5 4 11
[18]            s13             0 3 7 11 4 9 13                                         10 3 9 5 4 11 8
[19]            s5              0 3 7 11 4 9 13 5                                       10 3 9 5 4 11 8 7
[20]            r4              0 3 7 11 4 9 13 9                                       10 3 9 5 4 11 8 11
[21]            r5              0 3 7 11 4 9 13 16                                      10 3 9 5 4 11 8 12
[22]            r6              0 3 7 11 4 8                                            10 3 9 5 4 12
[23]            s12             0 3 7 11 4 8 12                                         10 3 9 5 4 12 6
[24]            r3              0 3 7 11 15                                             10 3 9 5 11
[25]            r2              0 1                                                     10 11
